Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,88.1833322564879,0.6628669442012542,371 / 55969
hChToTauNu,84.21984361680985,0.0289370120167519,220 / 760272
hToTauTau,71.06970845059024,0.037611224346613466,260 / 691283
leptoquark,82.48201719816325,0.0073411952640481115,25 / 340544
