Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,88.83887753608826,0.1000553878039629,56 / 55969
hChToTauNu,89.32908555757597,0.18611760001683608,1415 / 760272
hToTauTau,75.41663612233533,0.08100879090039825,560 / 691283
leptoquark,86.617590423087,0.011452264611915054,39 / 340544
