Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,87.88312520929408,0.4859833121906769,272 / 55969
hChToTauNu,88.36251922614579,0.047614537954837215,362 / 760272
hToTauTau,73.52076962014337,0.029076369591035798,201 / 691283
leptoquark,84.56373708520883,0.0035237737267430932,12 / 340544
