Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,88.1752475600045,0.19653736890064144,110 / 55969
hChToTauNu,87.94646741644198,0.0764200180987857,581 / 760272
hToTauTau,74.0204442150042,0.01851629506294817,128 / 691283
leptoquark,85.28455806401935,0.004698364968990791,16 / 340544
