Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,89.19263622216572,0.48955671889796143,274 / 55969
hChToTauNu,90.28057724606066,0.0689227013489909,524 / 760272
hToTauTau,74.95185419457422,0.034573394687848535,239 / 691283
leptoquark,85.87875592802064,0.01761886863371547,60 / 340544
