Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,89.89101220893676,0.3055262734728153,171 / 55969
hChToTauNu,89.02950265964213,0.08760022728707621,666 / 760272
hToTauTau,71.89148449964846,0.06220317872709151,430 / 691283
leptoquark,83.75901251299122,0.025841007329449352,88 / 340544
