Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,81.56520590983907,0.12685593810859583,71 / 55969
hChToTauNu,87.07846375448757,0.09536060778247785,725 / 760272
hToTauTau,68.68720783170336,0.02690649126334656,186 / 691283
leptoquark,76.5220084464972,0.004111069347866943,14 / 340544
