Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,89.38203368503322,1.091675749075381,611 / 55969
hChToTauNu,87.1438041572917,0.07970831491887113,606 / 760272
hToTauTau,71.467743793122,0.0481712988747011,333 / 691283
leptoquark,83.4548028369997,0.014976038338658147,51 / 340544
