Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,90.07972869238769,0.33054012042380604,185 / 55969
hChToTauNu,88.3757459890924,0.1254814066544605,954 / 760272
hToTauTau,73.38485061346009,0.08028549812450182,555 / 691283
leptoquark,85.2739195162864,0.039348806615297875,134 / 340544
