Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,84.44277529325734,0.11792242134038486,66 / 55969
hChToTauNu,89.23723806093342,0.07615695435317886,579 / 760272
hToTauTau,74.6391503411637,0.025749222821912297,178 / 691283
leptoquark,83.18855101112914,0.004111069347866943,14 / 340544
