Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,90.4937020593779,0.4699029820078972,263 / 55969
hChToTauNu,89.0536853482765,0.04643075109960646,353 / 760272
hToTauTau,73.3407119146509,0.05598286085438236,387 / 691283
leptoquark,82.8148798671501,0.010864968990791205,37 / 340544
