Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,88.59104536692512,3.6734620950883525,2056 / 55969
hChToTauNu,85.9513990371492,0.06274070332723025,477 / 760272
hToTauTau,67.53000133956843,0.05786342207171303,400 / 691283
leptoquark,79.43901823534026,0.033769498214621316,115 / 340544
