Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,89.9474357382528,1.3328807018170774,746 / 55969
hChToTauNu,85.7438809199011,0.06260917145442683,476 / 760272
hToTauTau,69.65896838909045,0.04267427377788836,295 / 691283
leptoquark,81.5142373537431,0.01761886863371547,60 / 340544
