Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,79.58267443178934,0.3895013310939985,218 / 55969
hChToTauNu,88.12902858122119,0.09601826714649493,730 / 760272
hToTauTau,68.00827859360182,0.030812272253187188,213 / 691283
leptoquark,74.51004636616513,0.003230125916181169,11 / 340544
