Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,87.0321338606487,0.10362879451124729,58 / 55969
hChToTauNu,83.10154553558571,0.09338762969042659,710 / 760272
hToTauTau,69.18785023234156,0.02184344183207167,151 / 691283
leptoquark,80.28963392539183,0.004404717158428867,15 / 340544
