Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,81.76798649628823,0.2036841823152102,114 / 55969
hChToTauNu,83.51792185562019,0.009470294841846076,72 / 760272
hToTauTau,69.32025545358061,0.011138708748804758,77 / 691283
leptoquark,82.35859450943992,0.0038174215373050183,13 / 340544
