Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,91.83531512048519,0.43238221158141116,242 / 55969
hChToTauNu,89.51144854223455,0.03301450007365785,251 / 760272
hToTauTau,75.2166544705898,0.044120859329681184,305 / 691283
leptoquark,84.98100803586401,0.011452264611915054,39 / 340544
