Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,87.8088812843824,0.18939055548607267,106 / 55969
hChToTauNu,90.30683162249818,0.08286507986615317,630 / 760272
hToTauTau,74.97125880817089,0.02979966236693221,206 / 691283
leptoquark,85.9692729353987,0.00792849088517196,27 / 340544
