Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,53.2199686257123,0.0053601100609265845,3 / 55969
hChToTauNu,62.516475261125805,0.009733358587452912,74 / 760272
hToTauTau,53.527220934212885,0.005063049431274891,35 / 691283
leptoquark,50.370425792244745,0.0,0 / 340544
