Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,87.62399862010265,0.3323268237774482,186 / 55969
hChToTauNu,88.0748024944092,0.08510112170381126,647 / 760272
hToTauTau,72.48579085320456,0.03442873613266926,238 / 691283
leptoquark,84.62963990704372,0.0038174215373050183,13 / 340544
