Signal,AUC [%],TPR @ FPR=1e-5 [%],TPR @ FPR=1e-5 [# events]
Ato4l,83.45578749574898,0.03216066036555951,18 / 55969
hChToTauNu,89.2948629369502,0.11167056001010166,849 / 760272
hToTauTau,74.2692302721684,0.03529668746374495,244 / 691283
leptoquark,82.00906414302473,0.005579308400676565,19 / 340544
